date,household_employment_total,household_employment_total_sa,household_employment_total_sa_stl,household_employment_seasonal_factor_stl,household_sa_gap_official_vs_stl,household_sa_gap_pct_official_vs_stl,household_employment_total_sa_stl_chained,household_employment_total_sa_spliced_chain,household_employment_total_sa_spliced,employment_blended_level
2010-10-01,4518.111304499999,4506.6557565088,4529.588359249648,0.9974662035842137,-22.93260274084878,0.5088607601707373,4549.23753371316,4506.6557565088,4506.6557565088,4542.037778503873
2011-01-01,4539.0751957,4559.24635820405,4547.037987952668,0.9982487957492853,12.208370251381893,-0.26777167304008476,4566.762858212688,4559.24635820405,4559.24635820405,4563.701672815645
2011-04-01,4593.773026700001,4591.50156635996,4583.0446265110095,1.00234088931339,8.456939848950242,-0.1841868009130332,4602.925692139518,4591.50156635996,4591.50156635996,4594.87412409993
2011-07-01,4610.6299238,4605.45132296562,4603.7255140822945,1.0014997440000675,1.7258088833259535,-0.0374731760754865,4623.696292579992,4605.45132296562,4605.45132296562,4606.56260813898
2011-10-01,4646.8465846,4632.78497278057,4645.283518829838,1.0003364844715774,-12.498546049268043,0.26978472177539015,4665.434574302146,4632.78497278057,4632.78497278057,4626.75791692233
2012-01-01,4630.9401385,4652.05917922564,4651.577767147078,0.9955633056824649,0.48141207856224355,-0.010348365315560049,4671.756126818685,4652.05917922564,4652.05917922564,4650.549878244397
2012-04-01,4665.5628443,4663.747581255,4659.849399285408,1.0012261007867493,3.8981819695918603,-0.08358475457076464,4680.063640968821,4663.747581255,4663.747581255,4670.780143072112
2012-07-01,4717.0055259,4714.13698835792,4708.704234446211,1.0017629672709252,5.432753911709369,-0.11524387019566928,4729.13040646486,4714.13698835792,4714.13698835792,4713.470516151359
2012-10-01,4704.3595846,4686.21092225937,4689.251894350345,1.0032217698238504,-3.0409720909747193,0.06489191676222195,4709.593682889978,4686.21092225937,4686.21092225937,4705.397174219495
2013-01-01,4677.6611425,4699.48462237458,4704.219203114538,0.9943544168611544,-4.734580739957892,0.10074680779710299,4724.625919245341,4699.48462237458,4699.48462237458,4720.0635029737305
2013-04-01,4718.6606632,4718.15294835259,4718.159857195853,1.0001061443484969,-0.006908843262863229,0.00014643110002321436,4738.627047330573,4718.15294835259,4718.15294835259,4736.4252832952425
2013-07-01,4753.1933456,4752.4697889526,4746.963545048958,1.0013123758992288,5.506243903641916,-0.11586068188043086,4767.555684437987,4752.4697889526,4752.4697889526,4760.849841946711
2013-10-01,4794.6840767,4772.19829767348,4772.047405332764,1.0047435973376837,0.15089234071547253,-0.0031619042483832516,4792.748357511797,4772.19829767348,4772.19829767348,4772.129539219186
2014-01-01,4738.495727099999,4761.20747434258,4762.496399583995,0.9949604849074334,-1.2889252414151997,0.027071394144462246,4783.155919879295,4761.20747434258,4761.20747434258,4774.3569288824065
2014-04-01,4817.9062499,4818.71202513354,4820.29962725295,0.9995034795473248,-1.587602119409894,0.0329466071250728,4841.209895654907,4818.71202513354,4818.71202513354,4805.325646711975
2014-07-01,4834.7430556,4835.46585488154,4835.252311348986,0.9998946785573549,0.21354353255355818,-0.004416193578082872,4856.227443900883,4835.46585488154,4835.46585488154,4821.630194331445
2014-10-01,4909.8545042000005,4883.63188714716,4883.891799588469,1.0053159868557535,-0.25991244130909763,0.005322113691508257,4905.077928309209,4883.63188714716,4883.63188714716,4851.141384093332
2015-01-01,4868.9962278,4893.36236852912,4891.273449999521,0.9954455169134893,2.088918529599141,-0.04268881746901654,4912.491600026669,4893.36236852912,4893.36236852912,4859.640408571162
2015-04-01,4889.522218,4891.3863546529,4891.579193263064,0.9995794864640244,-0.1928386101635624,0.003942412154378516,4912.79866959235,4891.3863546529,4891.3863546529,4870.123159387297
2015-07-01,4892.0864748,4892.24642396521,4895.631051350612,0.9992759714705963,-3.384627385402382,0.06918350164910603,4916.868104479411,4892.24642396521,4892.24642396521,4876.220217121543
2015-10-01,4946.014333499999,4918.76840494506,4919.13718019736,1.0054637942220508,-0.3687752523001109,0.007497308715120887,4940.476201979828,4918.76840494506,4918.76840494506,4898.3464215953345
2016-01-01,4933.3544719,4959.18207294094,4953.482212867019,0.9959366481795913,5.699860073920718,-0.11493548714456292,4974.970222037603,4959.18207294094,4959.18207294094,4916.776432946027
2016-04-01,4950.0242549,4952.16585088307,4951.658738701561,0.9996699118643236,0.507112181509001,-0.010240209976375425,4973.138837713612,4952.16585088307,4952.16585088307,4919.440095316016
2016-07-01,4973.1195552,4971.75254817185,4974.118008018826,0.9997992703797494,-2.365459846975682,0.0475779883261751,4995.695534449472,4971.75254817185,4971.75254817185,4930.370134649526
2016-10-01,5012.5744327,4985.46305632385,4988.917682101906,1.004741860280231,-3.454625778056652,0.06929398009829502,5010.559408931131,4985.46305632385,4985.46305632385,4951.235440365392
2017-01-01,4962.354657100001,4988.83852393841,4986.830310795832,0.9950919417404588,2.0082131425779153,-0.04025412193523481,5008.462982691206,4988.83852393841,4988.83852393841,4950.074943807765
2017-04-01,5014.149125,5017.98842029626,5014.40789992382,0.999948393722851,3.5805203724403327,-0.07135369938197078,5036.160202305914,5017.98842029626,5017.98842029626,4970.203695556743
2017-07-01,5023.9583035000005,5019.61401568568,5019.307992884804,1.0009264844121513,0.3060228008762351,-0.006096540489364255,5041.081551675614,5019.61401568568,5019.61401568568,4982.129997401797
2017-10-01,5049.7359391,5022.28176960144,5027.910617977044,1.0043408331573993,-5.628848375604321,0.11207751045898551,5049.721494613953,5022.28176960144,5022.28176960144,4998.473817648053
